DateTime,indexPrice
2016/01/04,228.2
2016/01/05,230.3
2016/01/06,231.4
2016/01/07,236.6
2016/01/08,236.8
2016/01/11,237.45
2016/01/12,234.6
2016/01/13,232.25
2016/01/14,234.05
2016/01/15,232.6
2016/01/18,233.5
2016/01/19,233.2
2016/01/20,233.8
2016/01/21,236.25
2016/01/22,235.2
2016/01/25,235.8
2016/01/26,238.9
2016/01/27,239.35
2016/01/28,238.8
2016/01/29,238.3
2016/02/01,239.9
2016/02/02,240.55
2016/02/03,241.45
2016/02/04,243.95
2016/02/05,245.9
2016/02/15,256.15
2016/02/16,253.1
2016/02/17,255.05
2016/02/18,254.85
2016/02/19,258.0
2016/02/22,256.2
2016/02/23,256.3
2016/02/24,258.45
2016/02/25,261.5
2016/02/26,261.85
2016/02/29,259.4
2016/03/01,263.05
2016/03/02,259.85
2016/03/03,262.05
2016/03/04,265.6
2016/03/07,265.65
2016/03/08,266.7
2016/03/09,264.05
2016/03/10,261.9
2016/03/11,265.75
2016/03/14,262.5
2016/03/15,257.85
2016/03/16,259.45
2016/03/17,263.3
2016/03/18,263.35
2016/03/21,259.7
2016/03/22,261.4
2016/03/23,258.35
2016/03/24,255.1
2016/03/25,256.1
2016/03/28,255.05
2016/03/29,255.75
2016/03/30,258.6
2016/03/31,256.15
2016/04/01,257.2
2016/04/05,256.05
2016/04/06,256.75
2016/04/07,256.45
2016/04/08,258.0
2016/04/11,260.55
2016/04/12,261.8
2016/04/13,260.4
2016/04/14,257.8
2016/04/15,257.2
2016/04/18,257.35
2016/04/19,259.85
2016/04/20,260.65
2016/04/21,264.0
2016/04/22,260.6
2016/04/25,258.65
2016/04/26,258.1
2016/04/27,261.3
2016/04/28,262.25
2016/04/29,266.45
2016/05/03,272.4
2016/05/04,269.46
2016/05/05,269.22
2016/05/06,270.03
2016/05/09,269.54
2016/05/10,267.22
2016/05/11,268.63
2016/05/12,267.79
2016/05/13,269.76
2016/05/16,271.75
2016/05/17,269.83
2016/05/18,269.98
2016/05/19,265.76
2016/05/20,265.94
2016/05/23,265.27
2016/05/24,263.45
2016/05/25,259.58
2016/05/26,260.57
2016/05/27,259.41
2016/05/30,256.34
2016/05/31,258.84
2016/06/01,259.35
2016/06/02,259.65
2016/06/03,258.65
2016/06/06,264.4
2016/06/07,264.85
2016/06/08,266.55
2016/06/13,274.15
2016/06/14,273.35
2016/06/15,275.2
2016/06/16,279.95
2016/06/17,273.2
2016/06/20,273.75
2016/06/21,273.2
2016/06/22,269.6
2016/06/23,269.75
2016/06/24,282.25
2016/06/27,284.65
2016/06/28,283.35
2016/06/29,284.3
2016/06/30,283.0
2016/07/01,287.15
2016/07/04,292.15
2016/07/05,290.8
2016/07/06,296.7
2016/07/07,295.7
2016/07/08,292.8
2016/07/11,295.0
2016/07/12,293.6
2016/07/13,290.8
2016/07/14,288.85
2016/07/15,288.95
2016/07/18,288.15
2016/07/19,288.7
2016/07/20,287.55
2016/07/21,284.6
2016/07/22,286.3
2016/07/25,284.8
2016/07/26,285.2
2016/07/27,285.0
2016/07/28,289.25
2016/07/29,287.45
2016/08/01,289.65
2016/08/02,291.15
2016/08/03,292.6
2016/08/04,289.75
2016/08/05,293.3
2016/08/08,287.05
2016/08/09,286.8
2016/08/10,290.9
2016/08/11,288.5
2016/08/12,288.25
2016/08/15,287.7
2016/08/16,289.0
2016/08/17,287.6
2016/08/18,289.3
2016/08/19,289.3
2016/08/22,286.7
2016/08/23,287.25
2016/08/24,287.4
2016/08/25,284.75
2016/08/26,284.8
2016/08/29,283.9
2016/08/30,284.65
2016/08/31,283.4
2016/09/01,282.75
2016/09/02,283.15
2016/09/05,286.65
2016/09/06,286.95
2016/09/07,290.85
2016/09/08,290.45
2016/09/09,288.65
2016/09/12,287.5
2016/09/13,287.45
2016/09/14,286.0
2016/09/19,284.55
2016/09/20,284.85
2016/09/21,285.35
2016/09/22,287.7
2016/09/23,288.15
2016/09/26,288.1
2016/09/27,287.7
2016/09/28,285.45
2016/09/29,284.75
2016/09/30,285.3
2016/10/10,274.0
2016/10/11,273.9
2016/10/12,273.3
2016/10/13,274.2
2016/10/14,273.45
2016/10/17,273.7
2016/10/18,275.2
2016/10/19,275.2
2016/10/20,277.25
2016/10/21,276.3
2016/10/24,277.05
2016/10/25,277.9
2016/10/26,279.2
2016/10/27,278.25
2016/10/28,278.5
2016/10/31,279.65
2016/11/01,281.06
2016/11/02,283.78
2016/11/03,284.59
2016/11/04,283.19
2016/11/07,282.72
2016/11/08,282.41
2016/11/09,289.84
2016/11/10,284.52
2016/11/11,280.44
2016/11/14,272.01
2016/11/15,275.18
2016/11/16,276.47
2016/11/17,276.0
2016/11/18,272.98
2016/11/21,275.17
2016/11/22,275.84
2016/11/23,276.25
2016/11/24,273.42
2016/11/25,271.2
2016/11/28,273.58
2016/11/29,272.54
2016/11/30,270.83
2016/12/01,269.25
2016/12/02,268.85
2016/12/05,268.75
2016/12/06,268.15
2016/12/07,267.7
2016/12/08,269.75
2016/12/09,269.5
2016/12/12,267.95
2016/12/13,268.2
2016/12/14,269.65
2016/12/15,266.95
2016/12/16,265.35
2016/12/19,266.6
2016/12/20,265.25
2016/12/21,264.85
2016/12/22,263.3
2016/12/23,263.55
2016/12/26,264.75
2016/12/27,266.1
2016/12/28,267.3
2016/12/29,268.75
2016/12/30,271.35
2017/01/03,269.75
2017/01/04,270.4
2017/01/05,269.5
2017/01/06,268.85
2017/01/09,269.75
2017/01/10,271.5
2017/01/11,271.85
2017/01/12,272.25
2017/01/13,271.25
2017/01/16,272.95
2017/01/17,274.6
2017/01/18,273.5
2017/01/19,270.7
2017/01/20,271.4
2017/01/23,272.75
2017/01/24,272.35
2017/01/25,269.6
2017/01/26,267.6
2017/02/03,271.6
2017/02/06,274.3
2017/02/07,276.5
2017/02/08,276.75
2017/02/09,278.2
2017/02/10,275.25
2017/02/13,276.4
2017/02/14,276.0
2017/02/15,274.95
2017/02/16,276.35
2017/02/17,277.45
2017/02/20,276.85
2017/02/21,277.5
2017/02/22,277.2
2017/02/23,277.75
2017/02/24,281.15
2017/02/27,282.15
2017/02/28,281.2
2017/03/01,279.15
2017/03/02,279.45
2017/03/03,277.4
2017/03/06,277.45
2017/03/07,276.4
2017/03/08,274.55
2017/03/09,273.25
2017/03/10,271.05
2017/03/13,273.65
2017/03/14,272.35
2017/03/15,272.5
2017/03/16,277.15
2017/03/17,277.05
2017/03/20,278.45
2017/03/21,277.35
2017/03/22,279.8
2017/03/23,279.75
2017/03/24,278.95
2017/03/27,282.0
2017/03/28,281.2
2017/03/29,280.6
2017/03/30,280.6
2017/03/31,278.6
2017/04/05,281.25
2017/04/06,281.25
2017/04/07,283.5
2017/04/10,282.2
2017/04/11,282.75
2017/04/12,285.85
2017/04/13,287.15
2017/04/14,287.7
2017/04/17,287.2
2017/04/18,286.45
2017/04/19,286.3
2017/04/20,286.1
2017/04/21,285.9
2017/04/24,283.9
2017/04/25,283.9
2017/04/26,282.45
2017/04/27,282.85
2017/04/28,283.2
2017/05/02,281.73
2017/05/03,281.17
2017/05/04,277.55
2017/05/05,277.25
2017/05/08,277.13
2017/05/09,277.57
2017/05/10,276.33
2017/05/11,276.68
2017/05/12,277.6
2017/05/15,278.88
2017/05/16,279.56
2017/05/17,280.54
2017/05/18,282.9
2017/05/19,282.31
2017/05/22,283.04
2017/05/23,284.91
2017/05/24,281.65
2017/05/25,283.09
2017/05/26,283.1
2017/05/31,281.33
2017/06/01,281.85
2017/06/02,280.85
2017/06/05,284.55
2017/06/06,286.3
2017/06/07,286.6
2017/06/08,285.75
2017/06/09,282.5
2017/06/12,281.05
2017/06/13,281.15
2017/06/14,281.7
2017/06/15,279.85
2017/06/16,279.35
2017/06/19,278.85
2017/06/20,278.25
2017/06/21,278.15
2017/06/22,279.9
2017/06/23,280.45
2017/06/26,280.6
2017/06/27,279.4
2017/06/28,278.75
2017/06/29,278.15
2017/06/30,275.5
2017/07/03,274.6
2017/07/04,272.6
2017/07/05,272.4
2017/07/06,272.85
2017/07/07,272.2
2017/07/10,268.8
2017/07/11,270.0
2017/07/12,271.0
2017/07/13,271.75
2017/07/14,270.65
2017/07/17,273.0
2017/07/18,273.7
2017/07/19,274.05
2017/07/20,274.2
2017/07/21,275.8
2017/07/24,276.45
2017/07/25,276.8
2017/07/26,274.4
2017/07/27,277.6
2017/07/28,277.25
2017/07/31,278.05
2017/08/01,278.0
2017/08/02,277.95
2017/08/03,276.9
2017/08/04,278.45
2017/08/07,275.95
2017/08/08,275.7
2017/08/09,276.45
2017/08/10,278.45
2017/08/11,279.85
2017/08/14,279.75
2017/08/15,277.85
2017/08/16,276.95
2017/08/17,279.95
2017/08/18,280.5
2017/08/21,279.7
2017/08/22,279.1
2017/08/23,279.15
2017/08/24,279.25
2017/08/25,279.05
2017/08/28,280.45
2017/08/29,283.8
2017/08/30,280.35
2017/08/31,279.9
2017/09/01,281.8
2017/09/04,284.2
2017/09/05,283.65
2017/09/06,284.1
2017/09/07,283.05
2017/09/08,283.7
2017/09/11,282.4
2017/09/12,281.1
2017/09/13,281.5
2017/09/14,281.15
2017/09/15,282.45
2017/09/18,279.85
2017/09/19,279.8
2017/09/20,280.05
2017/09/21,277.5
2017/09/22,277.95
2017/09/25,277.6
2017/09/26,281.8
2017/09/27,279.2
2017/09/28,277.7
2017/09/29,278.9
2017/10/09,276.75
2017/10/10,276.65
2017/10/11,276.1
2017/10/12,277.1
2017/10/13,277.2
2017/10/16,278.7
2017/10/17,277.25
2017/10/18,276.15
2017/10/19,275.7
2017/10/20,276.05
2017/10/23,274.9
2017/10/24,275.8
2017/10/25,274.55
2017/10/26,275.8
2017/10/27,273.95
2017/10/30,274.3
2017/10/31,274.5
2017/11/01,274.9
2017/11/02,275.04
2017/11/03,275.24
2017/11/06,274.78
2017/11/07,275.96
2017/11/08,276.34
2017/11/09,277.59
2017/11/10,278.49
2017/11/13,277.1
2017/11/14,277.09
2017/11/15,277.78
2017/11/16,277.77
2017/11/17,278.79
2017/11/20,280.48
2017/11/21,278.99
2017/11/22,279.09
2017/11/23,279.41
2017/11/24,279.59
2017/11/27,279.89
2017/11/28,281.01
2017/11/29,281.18
2017/11/30,279.07
2017/12/01,277.75
2017/12/04,277.55
2017/12/05,277.7
2017/12/06,276.05
2017/12/07,274.15
2017/12/08,272.35
2017/12/11,272.55
2017/12/12,271.9
2017/12/13,271.85
2017/12/14,274.25
2017/12/15,274.25
2017/12/18,274.4
2017/12/19,275.55
2017/12/20,274.95
2017/12/21,274.7
2017/12/22,274.9
2017/12/25,276.6
2017/12/26,276.5
2017/12/27,277.15
2017/12/28,278.05
2017/12/29,277.8
2018/01/02,279.4
2018/01/03,280.35
2018/01/04,279.0
2018/01/05,279.85
2018/01/08,280.2
2018/01/09,280.55
2018/01/10,279.95
2018/01/11,280.85
2018/01/12,281.55
2018/01/15,282.05
2018/01/16,281.65
2018/01/17,280.8
2018/01/18,279.25
2018/01/19,278.35
2018/01/22,278.5
2018/01/23,279.4
2018/01/24,280.7
2018/01/25,281.75
2018/01/26,279.95
2018/01/29,278.7
2018/01/30,276.35
2018/01/31,276.6
2018/02/01,276.05
2018/02/02,276.4
2018/02/05,274.0
2018/02/06,276.0
2018/02/07,272.3
2018/02/08,271.7
2018/02/09,273.05
2018/02/12,272.9
2018/02/13,274.25
2018/02/14,276.1
2018/02/22,273.65
2018/02/23,274.6
2018/02/26,275.85
2018/02/27,274.4
2018/02/28,272.05
2018/03/01,271.7
2018/03/02,272.7
2018/03/05,273.65
2018/03/06,273.3
2018/03/07,274.5
2018/03/08,274.0
2018/03/09,272.55
2018/03/12,272.5
2018/03/13,272.3
2018/03/14,272.75
2018/03/15,272.5
2018/03/16,271.35
2018/03/19,270.05
2018/03/20,271.2
2018/03/21,271.15
2018/03/22,273.5
2018/03/23,276.5
2018/03/26,276.15
2018/03/27,275.8
2018/03/28,274.2
2018/03/29,271.05
2018/03/30,271.55
2018/04/02,271.75
2018/04/03,273.75
2018/04/04,273.4
2018/04/09,272.55
2018/04/10,272.7
2018/04/11,274.3
2018/04/12,275.2
2018/04/13,273.15
2018/04/16,274.25
2018/04/17,274.65
2018/04/18,274.5
2018/04/19,275.2
2018/04/20,273.85
2018/04/23,272.55
2018/04/24,271.85
2018/04/25,271.6
2018/04/26,271.9
2018/04/27,271.15
2018/05/02,271.95
2018/05/03,272.1
2018/05/04,272.47
2018/05/07,273.52
2018/05/08,273.86
2018/05/09,273.84
2018/05/10,274.29
2018/05/11,274.6
2018/05/14,274.47
2018/05/15,273.31
2018/05/16,270.72
2018/05/17,269.4
2018/05/18,269.91
2018/05/21,269.14
2018/05/22,269.72
2018/05/23,270.13
2018/05/24,271.71
2018/05/25,273.22
2018/05/28,272.09
2018/05/29,272.9
2018/05/30,273.96
2018/05/31,274.25
2018/06/01,273.85
2018/06/04,272.4
2018/06/05,271.9
2018/06/06,272.4
2018/06/07,272.15
2018/06/08,272.1
2018/06/11,272.7
2018/06/12,272.4
2018/06/13,272.1
2018/06/14,273.35
2018/06/15,273.65
2018/06/19,271.4
2018/06/20,270.2
2018/06/21,269.45
2018/06/22,270.55
2018/06/25,271.15
2018/06/26,271.25
2018/06/27,271.6
2018/06/28,270.9
2018/06/29,271.4
2018/07/02,272.1
2018/07/03,271.9
2018/07/04,272.65
2018/07/05,272.75
2018/07/06,273.25
2018/07/09,273.1
2018/07/10,272.0
2018/07/11,272.85
2018/07/12,271.9
2018/07/13,271.7
2018/07/16,272.05
2018/07/17,271.55
2018/07/18,269.05
2018/07/19,270.3
2018/07/20,270.65
2018/07/23,271.9
2018/07/24,271.7
2018/07/25,271.7
2018/07/26,272.1
2018/07/27,271.5
2018/07/30,271.55
2018/07/31,271.65
2018/08/01,271.45
2018/08/02,270.75
2018/08/03,270.2
2018/08/06,270.25
2018/08/07,270.1
2018/08/08,269.5
2018/08/09,269.55
2018/08/10,269.4
2018/08/13,270.1
2018/08/14,267.65
2018/08/15,267.4
2018/08/16,264.0
2018/08/17,263.4
2018/08/20,265.15
2018/08/21,266.35
2018/08/22,266.25
2018/08/23,266.2
2018/08/24,266.3
2018/08/27,267.45
2018/08/28,268.3
2018/08/29,267.05
2018/08/30,267.45
2018/08/31,267.8
2018/09/03,266.6
2018/09/04,265.6
2018/09/05,265.6
2018/09/06,266.4
2018/09/07,267.2
2018/09/10,266.25
2018/09/11,267.0
2018/09/12,266.8
2018/09/13,268.1
2018/09/14,268.65
2018/09/17,267.35
2018/09/18,267.65
2018/09/19,267.95
2018/09/20,268.2
2018/09/21,269.05
2018/09/25,267.95
2018/09/26,268.35
2018/09/27,267.4
2018/09/28,264.9
2018/10/08,268.65
2018/10/09,267.9
2018/10/10,267.9
2018/10/11,269.45
2018/10/12,272.85
2018/10/15,275.35
2018/10/16,275.25
2018/10/17,274.5
2018/10/18,274.75
2018/10/19,276.05
2018/10/22,275.85
2018/10/23,276.95
2018/10/24,277.15
2018/10/25,278.5
2018/10/26,278.3
2018/10/29,277.85
2018/10/30,277.25
2018/10/31,274.9
2018/11/01,276.76
2018/11/02,277.09
2018/11/05,277.28
2018/11/06,277.45
2018/11/07,277.79
2018/11/08,277.02
2018/11/09,276.41
2018/11/12,274.78
2018/11/13,274.23
2018/11/14,274.46
2018/11/15,276.09
2018/11/16,276.82
2018/11/19,277.52
2018/11/20,278.51
2018/11/21,278.48
2018/11/22,279.08
2018/11/23,279.03
2018/11/26,279.03
2018/11/27,278.46
2018/11/28,277.26
2018/11/29,279.37
2018/11/30,279.21
2018/12/03,278.35
2018/12/04,278.35
2018/12/05,278.9
2018/12/06,279.9
2018/12/07,280.25
2018/12/10,283.1
2018/12/11,282.65
2018/12/12,281.2
2018/12/13,280.8
2018/12/14,280.35
2018/12/17,280.2
2018/12/18,281.9
2018/12/19,282.55
2018/12/20,282.15
2018/12/21,284.8
2018/12/24,285.45
2018/12/25,287.1
2018/12/26,287.5
2018/12/27,286.3
2018/12/28,287.85
2019/01/02,288.3
2019/01/03,290.7
2019/01/04,290.55
2019/01/07,288.65
2019/01/08,287.25
2019/01/09,286.2
2019/01/10,286.9
2019/01/11,284.95
