date,closeprice
2018-03-06,1334.5
2018-03-07,1325.4
2018-03-08,1321.231
2018-03-09,1323.35
2018-03-12,1323.0
2018-03-13,1326.2
2018-03-14,1324.7
2018-03-15,1316.2
2018-03-16,1314.2
2018-03-19,1316.7
2018-03-20,1310.951
2018-03-21,1332.2
2018-03-22,1328.7
2018-03-23,1346.92
2018-03-26,1353.5
2018-03-27,1344.6
2018-03-28,1325.3
2018-03-29,1325.05
2018-03-30,1325.03
2018-04-02,1341.3
2018-04-03,1332.3
2018-04-04,1333.0
2018-04-09,1336.2
2018-04-10,1339.4
2018-04-11,1352.9
2018-04-12,1334.8
2018-04-13,1346.0
2018-04-16,1345.6
2018-04-17,1347.1
2018-04-18,1349.1
2018-04-19,1345.5
2018-04-20,1335.52
2018-04-23,1324.64
2018-04-24,1330.5
2018-04-25,1323.1
2018-04-26,1316.9
2018-04-27,1324.0
2018-05-02,1304.9
2018-05-03,1312.0
2018-05-04,1314.77
2018-05-07,1314.0
2018-05-08,1314.4
2018-05-09,1312.4
2018-05-10,1321.2
2018-05-11,1318.85
2018-05-14,1313.3
2018-05-15,1290.2
2018-05-16,1290.7
2018-05-17,1290.7
2018-05-18,1292.97
2018-05-21,1292.8
2018-05-22,1291.2
2018-05-23,1293.3
2018-05-24,1304.5
2018-05-25,1301.7
2018-05-28,1297.62
2018-05-29,1298.7
2018-05-30,1301.2
2018-05-31,1297.9
2018-06-01,1292.95
2018-06-04,1291.5
2018-06-05,1296.3
2018-06-06,1296.4
2018-06-07,1297.1
2018-06-08,1298.5
2018-06-11,1300.4
2018-06-12,1295.6
2018-06-13,1299.6
2018-06-14,1302.4
2018-06-15,1278.45
2018-06-19,1274.6
2018-06-20,1267.7
2018-06-21,1267.1
2018-06-22,1269.8
2018-06-25,1265.4
2018-06-26,1258.8
2018-06-27,1252.16
2018-06-28,1248.0
2018-06-29,1252.4
2018-07-02,1241.5
2018-07-03,1252.8
2018-07-04,1257.8
2018-07-05,1257.6
2018-07-06,1254.63
2018-07-09,1257.6
2018-07-10,1255.5
2018-07-11,1241.9
2018-07-12,1247.2
2018-07-13,1241.27
2018-07-16,1240.8
2018-07-17,1227.6
2018-07-18,1227.6
2018-07-19,1222.7
2018-07-20,1231.51
2018-07-23,1224.4
2018-07-24,1224.5
2018-07-25,1231.4
2018-07-26,1222.4
2018-07-27,1223.78
2018-07-30,1221.3
2018-07-31,1223.7
2018-08-01,1215.8
2018-08-02,1207.5
2018-08-03,1214.4
2018-08-06,1207.3
2018-08-07,1210.8
2018-08-08,1213.8
2018-08-09,1212.3
2018-08-10,1210.23
2018-08-13,1193.38
2018-08-14,1194.2
2018-08-15,1174.7
2018-08-16,1174.2
2018-08-17,1186.32
2018-08-20,1190.2
2018-08-21,1195.8
2018-08-22,1195.5
2018-08-23,1185.4
2018-08-24,1204.91
2018-08-27,1211.2
2018-08-28,1200.8
2018-08-29,1206.8
2018-08-30,1199.76
2018-08-31,1201.5
2018-09-03,1201.2
2018-09-04,1190.7
2018-09-05,1196.8
2018-09-06,1199.92
2018-09-07,1196.47
2018-09-10,1195.6
2018-09-11,1198.4
2018-09-12,1206.0
2018-09-13,1201.31
2018-09-14,1193.6
2018-09-17,1200.5
2018-09-18,1198.2
2018-09-19,1203.9
2018-09-20,1207.2
2018-09-21,1199.66
2018-09-25,1200.9
2018-09-26,1194.1
2018-09-27,1182.7
