DateTime,AU1606.SHF,AU1606.VOL,AU1612.SHF,AU1612.VOL,AU1706.SHF,AU1706.VOL,AU1712.SHF,AU1712.VOL,AU1806.SHF,AU1806.VOL,AU1812.SHF,AU1812.VOL,AU1906.SHF,AU1906.VOL
2016/01/4,228.2,115918,230.8,380,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/01/5,230.3,262396,232.8,638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/01/6,231.4,269668,234.35,246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/01/7,236.6,475962,239.2,1050,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/01/8,236.8,378540,239.25,260,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/01/11,237.45,353852,240.2,236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/01/12,234.6,295580,236.9,888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/01/13,232.25,237332,234.65,366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/01/14,234.05,316336,236.45,406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/01/15,232.6,263662,234.8,552,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/01/18,233.5,334226,235.8,592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/01/19,233.2,148870,235.6,258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/01/20,233.8,178390,236.25,290,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/01/21,236.25,299478,238.6,756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/01/22,235.2,239830,237.55,556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/01/25,235.8,199426,238.05,654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/01/26,238.9,248890,241.1,1108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/01/27,239.35,238910,241.8,1174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/01/28,238.8,201368,241.3,1342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/01/29,238.3,232398,240.6,488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/02/1,239.9,199550,242.45,450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/02/2,240.55,184274,242.9,1040,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/02/3,241.45,197552,243.95,700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/02/4,243.95,268622,246.4,1226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/02/5,245.9,225544,248.05,2056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/02/15,256.15,190718,258.7,2668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/02/16,253.1,309996,255.5,3586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/02/17,255.05,397254,257.2,2680,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016/02/18,254.85,310824,257.2,1336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
