"DateTime","AU1606.SHF","AU1612.SHF","AU1706.SHF","AU1712.SHF","AU1806.SHF","AU1812.SHF","AU1906.SHF"
2016-01-04,115918,380,NaN,NaN,NaN,NaN,NaN
2016-01-05,262396,638,NaN,NaN,NaN,NaN,NaN
2016-01-06,269668,246,NaN,NaN,NaN,NaN,NaN
2016-01-07,475962,1050,NaN,NaN,NaN,NaN,NaN
2016-01-08,378540,260,NaN,NaN,NaN,NaN,NaN
2016-01-11,353852,236,NaN,NaN,NaN,NaN,NaN
2016-01-12,295580,888,NaN,NaN,NaN,NaN,NaN
2016-01-13,237332,366,NaN,NaN,NaN,NaN,NaN
2016-01-14,316336,406,NaN,NaN,NaN,NaN,NaN
2016-01-15,263662,552,NaN,NaN,NaN,NaN,NaN
2016-01-18,334226,592,NaN,NaN,NaN,NaN,NaN
2016-01-19,148870,258,NaN,NaN,NaN,NaN,NaN
2016-01-20,178390,290,NaN,NaN,NaN,NaN,NaN
2016-01-21,299478,756,NaN,NaN,NaN,NaN,NaN
2016-01-22,239830,556,NaN,NaN,NaN,NaN,NaN
2016-01-25,199426,654,NaN,NaN,NaN,NaN,NaN
2016-01-26,248890,1108,NaN,NaN,NaN,NaN,NaN
2016-01-27,238910,1174,NaN,NaN,NaN,NaN,NaN
2016-01-28,201368,1342,NaN,NaN,NaN,NaN,NaN
2016-01-29,232398,488,NaN,NaN,NaN,NaN,NaN
2016-02-01,199550,450,NaN,NaN,NaN,NaN,NaN
2016-02-02,184274,1040,NaN,NaN,NaN,NaN,NaN
2016-02-03,197552,700,NaN,NaN,NaN,NaN,NaN
2016-02-04,268622,1226,NaN,NaN,NaN,NaN,NaN
2016-02-05,225544,2056,NaN,NaN,NaN,NaN,NaN
2016-02-15,190718,2668,NaN,NaN,NaN,NaN,NaN
2016-02-16,309996,3586,NaN,NaN,NaN,NaN,NaN
2016-02-17,397254,2680,NaN,NaN,NaN,NaN,NaN
2016-02-18,310824,1336,NaN,NaN,NaN,NaN,NaN
2016-02-19,369542,4576,NaN,NaN,NaN,NaN,NaN
2016-02-22,468326,5828,NaN,NaN,NaN,NaN,NaN
2016-02-23,374288,4384,NaN,NaN,NaN,NaN,NaN
2016-02-24,449322,4110,NaN,NaN,NaN,NaN,NaN
2016-02-25,797662,12156,NaN,NaN,NaN,NaN,NaN
2016-02-26,608646,10070,NaN,NaN,NaN,NaN,NaN
2016-02-29,756284,6616,NaN,NaN,NaN,NaN,NaN
2016-03-01,552970,8112,NaN,NaN,NaN,NaN,NaN
2016-03-02,637386,6880,NaN,NaN,NaN,NaN,NaN
2016-03-03,520756,4934,NaN,NaN,NaN,NaN,NaN
2016-03-04,627072,10256,NaN,NaN,NaN,NaN,NaN
2016-03-07,896440,10570,NaN,NaN,NaN,NaN,NaN
2016-03-08,535820,8908,NaN,NaN,NaN,NaN,NaN
2016-03-09,513264,8738,NaN,NaN,NaN,NaN,NaN
2016-03-10,530230,15624,NaN,NaN,NaN,NaN,NaN
2016-03-11,868980,12150,NaN,NaN,NaN,NaN,NaN
2016-03-14,544586,9416,NaN,NaN,NaN,NaN,NaN
2016-03-15,586332,10416,NaN,NaN,NaN,NaN,NaN
2016-03-16,402560,8286,NaN,NaN,NaN,NaN,NaN
2016-03-17,500638,9484,NaN,NaN,NaN,NaN,NaN
2016-03-18,403442,9054,NaN,NaN,NaN,NaN,NaN
2016-03-21,340072,7158,NaN,NaN,NaN,NaN,NaN
2016-03-22,263124,6022,NaN,NaN,NaN,NaN,NaN
2016-03-23,331106,7152,NaN,NaN,NaN,NaN,NaN
2016-03-24,380646,11862,NaN,NaN,NaN,NaN,NaN
2016-03-25,164146,3068,NaN,NaN,NaN,NaN,NaN
2016-03-28,147416,6588,NaN,NaN,NaN,NaN,NaN
2016-03-29,185942,5808,NaN,NaN,NaN,NaN,NaN
2016-03-30,378770,11628,NaN,NaN,NaN,NaN,NaN
2016-03-31,269920,15804,NaN,NaN,NaN,NaN,NaN
2016-04-01,232786,9404,NaN,NaN,NaN,NaN,NaN
2016-04-05,95420,7666,NaN,NaN,NaN,NaN,NaN
2016-04-06,194794,7646,NaN,NaN,NaN,NaN,NaN
2016-04-07,227246,9024,NaN,NaN,NaN,NaN,NaN
2016-04-08,257602,13430,NaN,NaN,NaN,NaN,NaN
2016-04-11,245542,13834,NaN,NaN,NaN,NaN,NaN
2016-04-12,189268,14486,NaN,NaN,NaN,NaN,NaN
2016-04-13,268234,25724,NaN,NaN,NaN,NaN,NaN
2016-04-14,273610,22788,NaN,NaN,NaN,NaN,NaN
2016-04-15,236076,18716,NaN,NaN,NaN,NaN,NaN
2016-04-18,217164,18266,NaN,NaN,NaN,NaN,NaN
2016-04-19,239320,23892,NaN,NaN,NaN,NaN,NaN
2016-04-20,325448,33158,NaN,NaN,NaN,NaN,NaN
2016-04-21,350660,50924,NaN,NaN,NaN,NaN,NaN
2016-04-22,401306,61342,NaN,NaN,NaN,NaN,NaN
2016-04-25,372910,51474,NaN,NaN,NaN,NaN,NaN
2016-04-26,172382,35878,NaN,NaN,NaN,NaN,NaN
2016-04-27,253034,58272,NaN,NaN,NaN,NaN,NaN
2016-04-28,342874,100298,NaN,NaN,NaN,NaN,NaN
2016-04-29,347256,142898,NaN,NaN,NaN,NaN,NaN
2016-05-03,152216,91622,NaN,NaN,NaN,NaN,NaN
2016-05-04,186568,166064,NaN,NaN,NaN,NaN,NaN
2016-05-05,147672,168280,NaN,NaN,NaN,NaN,NaN
2016-05-06,111378,257778,NaN,NaN,NaN,NaN,NaN
2016-05-09,113192,364526,NaN,NaN,NaN,NaN,NaN
2016-05-10,69624,269504,NaN,NaN,NaN,NaN,NaN
2016-05-11,48084,252092,NaN,NaN,NaN,NaN,NaN
2016-05-12,40030,195620,NaN,NaN,NaN,NaN,NaN
2016-05-13,52394,309730,NaN,NaN,NaN,NaN,NaN
2016-05-16,40430,297706,NaN,NaN,NaN,NaN,NaN
2016-05-17,36372,278192,0,NaN,NaN,NaN,NaN
2016-05-18,23614,236438,26,NaN,NaN,NaN,NaN
2016-05-19,37442,362390,44,NaN,NaN,NaN,NaN
2016-05-20,19546,229012,54,NaN,NaN,NaN,NaN
2016-05-23,21136,237010,22,NaN,NaN,NaN,NaN
2016-05-24,21908,244742,6,NaN,NaN,NaN,NaN
2016-05-25,23334,318086,44,NaN,NaN,NaN,NaN
2016-05-26,20132,236722,16,NaN,NaN,NaN,NaN
2016-05-27,17426,282392,32,NaN,NaN,NaN,NaN
2016-05-30,19648,298804,64,NaN,NaN,NaN,NaN
2016-05-31,12386,207452,94,NaN,NaN,NaN,NaN
2016-06-01,1796,224472,92,NaN,NaN,NaN,NaN
2016-06-02,1338,206500,64,NaN,NaN,NaN,NaN
2016-06-03,984,148472,42,NaN,NaN,NaN,NaN
2016-06-06,1326,298338,182,NaN,NaN,NaN,NaN
2016-06-07,918,183862,126,NaN,NaN,NaN,NaN
2016-06-08,1296,161948,74,NaN,NaN,NaN,NaN
2016-06-13,204,181804,362,NaN,NaN,NaN,NaN
2016-06-14,642,210538,342,NaN,NaN,NaN,NaN
2016-06-15,0,253134,360,NaN,NaN,NaN,NaN
2016-06-16,NaN,363092,1002,NaN,NaN,NaN,NaN
2016-06-17,NaN,546056,822,NaN,NaN,NaN,NaN
2016-06-20,NaN,327082,296,NaN,NaN,NaN,NaN
2016-06-21,NaN,252118,238,NaN,NaN,NaN,NaN
2016-06-22,NaN,275022,256,NaN,NaN,NaN,NaN
2016-06-23,NaN,240326,166,NaN,NaN,NaN,NaN
2016-06-24,NaN,997696,1902,NaN,NaN,NaN,NaN
2016-06-27,NaN,580666,1180,NaN,NaN,NaN,NaN
2016-06-28,NaN,325764,328,NaN,NaN,NaN,NaN
2016-06-29,NaN,300974,378,NaN,NaN,NaN,NaN
2016-06-30,NaN,287436,724,NaN,NaN,NaN,NaN
2016-07-01,NaN,445956,788,NaN,NaN,NaN,NaN
2016-07-04,NaN,558068,1136,NaN,NaN,NaN,NaN
2016-07-05,NaN,344286,674,NaN,NaN,NaN,NaN
2016-07-06,NaN,542390,1544,NaN,NaN,NaN,NaN
2016-07-07,NaN,341338,888,NaN,NaN,NaN,NaN
2016-07-08,NaN,337310,534,NaN,NaN,NaN,NaN
2016-07-11,NaN,434348,906,NaN,NaN,NaN,NaN
2016-07-12,NaN,252080,912,NaN,NaN,NaN,NaN
2016-07-13,NaN,450672,1432,NaN,NaN,NaN,NaN
2016-07-14,NaN,304580,504,NaN,NaN,NaN,NaN
2016-07-15,NaN,277810,572,NaN,NaN,NaN,NaN
2016-07-18,NaN,303768,460,NaN,NaN,NaN,NaN
2016-07-19,NaN,239612,444,NaN,NaN,NaN,NaN
2016-07-20,NaN,219452,604,NaN,NaN,NaN,NaN
2016-07-21,NaN,263726,1354,NaN,NaN,NaN,NaN
2016-07-22,NaN,284348,442,NaN,NaN,NaN,NaN
2016-07-25,NaN,194602,448,NaN,NaN,NaN,NaN
2016-07-26,NaN,197578,554,NaN,NaN,NaN,NaN
2016-07-27,NaN,170012,816,NaN,NaN,NaN,NaN
2016-07-28,NaN,282092,664,NaN,NaN,NaN,NaN
2016-07-29,NaN,218240,484,NaN,NaN,NaN,NaN
2016-08-01,NaN,263120,536,NaN,NaN,NaN,NaN
2016-08-02,NaN,186350,570,NaN,NaN,NaN,NaN
2016-08-03,NaN,182442,430,NaN,NaN,NaN,NaN
2016-08-04,NaN,229126,500,NaN,NaN,NaN,NaN
2016-08-05,NaN,189834,674,NaN,NaN,NaN,NaN
2016-08-08,NaN,260816,1676,NaN,NaN,NaN,NaN
2016-08-09,NaN,133298,1178,NaN,NaN,NaN,NaN
2016-08-10,NaN,208638,1248,NaN,NaN,NaN,NaN
2016-08-11,NaN,218884,1694,NaN,NaN,NaN,NaN
2016-08-12,NaN,207452,1376,NaN,NaN,NaN,NaN
2016-08-15,NaN,276634,1610,NaN,NaN,NaN,NaN
2016-08-16,NaN,168358,5036,NaN,NaN,NaN,NaN
2016-08-17,NaN,220036,3306,NaN,NaN,NaN,NaN
2016-08-18,NaN,202202,3288,NaN,NaN,NaN,NaN
2016-08-19,NaN,159760,3300,NaN,NaN,NaN,NaN
2016-08-22,NaN,230778,2736,NaN,NaN,NaN,NaN
2016-08-23,NaN,105430,1364,NaN,NaN,NaN,NaN
2016-08-24,NaN,134914,2508,NaN,NaN,NaN,NaN
2016-08-25,NaN,192890,1852,NaN,NaN,NaN,NaN
2016-08-26,NaN,118746,1388,NaN,NaN,NaN,NaN
2016-08-29,NaN,418364,4236,NaN,NaN,NaN,NaN
2016-08-30,NaN,143950,1112,NaN,NaN,NaN,NaN
2016-08-31,NaN,197694,2166,NaN,NaN,NaN,NaN
2016-09-01,NaN,166752,2980,NaN,NaN,NaN,NaN
2016-09-02,NaN,214742,1802,NaN,NaN,NaN,NaN
2016-09-05,NaN,227614,2726,NaN,NaN,NaN,NaN
2016-09-06,NaN,77624,1766,NaN,NaN,NaN,NaN
2016-09-07,NaN,237860,4862,NaN,NaN,NaN,NaN
2016-09-08,NaN,131246,1900,NaN,NaN,NaN,NaN
2016-09-09,NaN,179550,3884,NaN,NaN,NaN,NaN
2016-09-12,NaN,183842,4358,NaN,NaN,NaN,NaN
2016-09-13,NaN,190612,2168,NaN,NaN,NaN,NaN
2016-09-14,NaN,173902,3108,NaN,NaN,NaN,NaN
2016-09-19,NaN,84438,1922,NaN,NaN,NaN,NaN
2016-09-20,NaN,103348,1518,NaN,NaN,NaN,NaN
2016-09-21,NaN,152780,5096,NaN,NaN,NaN,NaN
2016-09-22,NaN,208376,5018,NaN,NaN,NaN,NaN
2016-09-23,NaN,169772,4514,NaN,NaN,NaN,NaN
2016-09-26,NaN,126784,3626,NaN,NaN,NaN,NaN
2016-09-27,NaN,135572,2712,NaN,NaN,NaN,NaN
2016-09-28,NaN,173412,5068,NaN,NaN,NaN,NaN
2016-09-29,NaN,133208,4074,NaN,NaN,NaN,NaN
2016-09-30,NaN,125074,3466,NaN,NaN,NaN,NaN
2016-10-10,NaN,151026,8808,NaN,NaN,NaN,NaN
