date,openPosPrice,closePosPrice,profitcode,stopLossTimeDiff
2018-03-08,274.0,274.3,-1,0
2018-03-09,273.75,273.45,1,0
2018-03-12,274.0,273.0,1,2
2018-03-13,0.0,0.0,0,0
2018-03-14,273.0,273.3,-1,0
2018-03-15,271.8,272.1,-1,0
2018-03-16,273.0,271.5,-1,1
2018-03-19,271.5,271.2,1,0
2018-03-20,270.55,270.85,-1,0
2018-03-21,270.45,270.15,1,0
2018-03-22,270.55,275.45,1,3
2018-03-23,0.0,0.0,0,0
2018-03-26,0.0,0.0,0,0
2018-03-27,275.45,275.75,-1,0
2018-03-28,276.9,273.45,-1,1
2018-03-29,273.45,273.15,1,0
2018-03-30,274.3,272.5,1,2
2018-04-02,0.0,0.0,0,0
2018-04-03,272.5,272.8,-1,0
2018-04-04,271.65,271.95,-1,0
2018-04-09,273.0,272.7,1,0
2018-04-10,273.35,273.05,1,0
2018-04-11,273.0,275.9,1,1
2018-04-12,275.9,276.2,-1,0
2018-04-13,274.4,274.09999999999997,1,0
2018-04-16,275.9,274.25,1,1
2018-04-17,274.25,274.55,-1,0
2018-04-18,273.15,275.6,1,1
2018-04-19,275.6,271.5,-1,3
2018-04-20,0.0,0.0,0,0
2018-04-23,0.0,0.0,0,0
2018-04-24,271.5,271.2,1,0
2018-04-25,271.65,271.95,-1,0
2018-04-26,271.5,271.8,-1,0
2018-04-27,271.6,271.3,1,0
2018-05-02,273.65,273.95,-1,0
2018-05-03,271.6,275.05,-1,1
2018-05-04,275.05,274.75,1,0
2018-05-07,275.0,275.3,-1,0
2018-05-08,275.05,275.35,-1,0
2018-05-09,275.0,275.3,-1,0
2018-05-10,275.1,274.8,1,0
2018-05-11,275.7,270.1,-1,4
2018-05-14,0.0,0.0,0,0
2018-05-15,0.0,0.0,0,0
2018-05-16,0.0,0.0,0,0
2018-05-17,270.1,269.8,1,0
2018-05-18,272.0,270.15,1,2
2018-05-21,0.0,0.0,0,0
2018-05-22,270.15,270.45,-1,0
2018-05-23,270.05,270.35,-1,0
2018-05-24,271.15,270.84999999999997,1,0
2018-05-25,272.6,272.90000000000003,-1,0
2018-05-28,271.15,273.0,-1,1
2018-05-29,273.0,272.7,1,0
2018-05-30,273.5,273.8,-1,0
2018-05-31,273.0,273.3,-1,1
2018-06-01,0.0,0.0,0,0
2018-06-04,274.4,273.0,0,1
2018-06-05,273.0,272.7,1,0
2018-06-06,272.65,272.34999999999997,1,0
2018-06-07,273.0,272.7,1,0
2018-06-08,272.0,272.8,1,2
2018-06-11,0.0,0.0,0,0
2018-06-12,272.8,273.1,-1,0
2018-06-13,272.0,274.3,1,2
2018-06-14,0.0,0.0,0,0
2018-06-15,274.3,270.55,-1,3
2018-06-19,0.0,0.0,0,0
2018-06-20,0.0,0.0,0,0
2018-06-21,270.55,270.25,1,0
2018-06-22,270.7,270.4,1,0
2018-06-25,270.4,270.7,-1,0
2018-06-26,269.6,271.5,-1,3
2018-06-27,0.0,0.0,0,0
2018-06-28,0.0,0.0,0,0
2018-06-29,271.5,271.2,1,0
2018-07-02,271.4,271.7,-1,0
2018-07-03,272.95,272.65,1,0
2018-07-04,271.4,272.7,1,2
2018-07-05,0.0,0.0,0,0
2018-07-06,272.7,273.0,-1,0
2018-07-09,273.0,272.7,1,0
