date,openprice,highprice,lowprice,closeprice
2018/3/6,273.35,273.5,272.35,273.3
2018/3/7,273.7,275.3,273.6,274.5
2018/3/8,274,274.35,273.15,274
2018/3/9,273.75,274.15,272.25,272.55
2018/3/12,272.4,273.25,271.45,272.5
2018/3/13,271.8,272.9,271.65,272.3
2018/3/14,273,273.6,271.9,272.75
2018/3/15,272.2,272.85,272,272.5
2018/3/16,271.75,271.9,270.9,271.35
2018/3/19,271.5,271.6,269.65,270.05
2018/3/20,270.55,271.5,270.3,271.2
2018/3/21,270.45,271.3,269.9,271.15
2018/3/22,271.6,274.25,271.55,273.5
2018/3/23,274.2,276.55,273.3,276.5
2018/3/26,276.9,277.25,275.85,276.15
2018/3/27,275.45,276.65,275.35,275.8
2018/3/28,274.3,275.15,273.95,274.2
2018/3/29,273.45,273.7,270.95,271.05
2018/3/30,271,271.6,270.85,271.55
2018/4/2,271.65,272.35,271.3,271.75
2018/4/3,272.5,274.6,272.3,273.75
2018/4/4,273.35,273.5,271.6,273.4
2018/4/9,273,273.2,272.4,272.55
2018/4/10,273.35,274.15,272.4,272.7
2018/4/11,273.35,274.35,272.75,274.3
2018/4/12,275.9,276.8,274.35,275.2
2018/4/13,274.4,274.65,272.65,273.15
2018/4/16,273.2,274.9,272.9,274.25
2018/4/17,274.25,274.85,273.85,274.65
2018/4/18,273.15,274.75,273.05,274.5
2018/4/19,275.6,275.8,274.55,275.2
2018/4/20,274.35,274.75,273.5,273.85
2018/4/23,273.65,273.65,272,272.55
2018/4/24,271.5,272.2,271.05,271.85
2018/4/25,271.65,272.65,271.5,271.6
2018/4/26,271.3,272.05,271.2,271.9
2018/4/27,271.6,271.75,270.65,271.15
2018/5/2,273.65,274.35,272.55,274.1
2018/5/3,273.8,274.9,273.35,274.15
2018/5/4,275.05,275.15,274.05,274.3
2018/5/7,275,275.75,274.35,275.15
2018/5/8,275.25,275.45,274.75,274.95
2018/5/9,274.6,275.95,273.95,274.6
2018/5/10,275.1,275.55,274.65,274.8
2018/5/11,275.7,275.75,274.75,275.2
2018/5/14,275.7,275.7,275,275.15
2018/5/15,275,275.2,273.6,273.8
2018/5/16,272,272.05,270.55,271.25
2018/5/17,270.1,270.8,269.75,269.85
2018/5/18,270,270.45,269.9,270.3
2018/5/21,270.05,271.15,269.45,269.5
2018/5/22,270.15,270.8,270,270.25
2018/5/23,270.8,270.85,270.2,270.5
2018/5/24,271.15,272.3,270.65,272.25
2018/5/25,272.6,273.85,272.25,273.55
2018/5/28,274.1,274.3,272.15,272.35
2018/5/29,273,273.65,272.65,273.25
2018/5/30,273.5,274.95,272.8,274.15
2018/5/31,274.4,274.55,273.8,274.5
2018/6/1,274.1,275,273.3,273.85
2018/6/4,272.65,273.65,272.3,272.4
2018/6/5,273,273,271.65,271.9
2018/6/6,272,273.35,271.7,272.4
2018/6/7,272.4,272.85,271.8,272.15
2018/6/8,272.7,272.75,271.8,272.1
2018/6/11,272.65,273.35,272.35,272.7
2018/6/12,272.8,273.45,272.2,272.4
2018/6/13,272,272.9,271.95,272.1
2018/6/14,272.2,273.35,271.95,273.35
2018/6/15,274.3,274.4,273.25,273.65
2018/6/19,271,271.5,270.75,271.4
2018/6/20,270.7,271.4,270.15,270.2
2018/6/21,270.55,270.85,269.1,269.45
2018/6/22,269.6,270.65,269.4,270.55
2018/6/25,270.4,271.7,270.15,271.15
2018/6/26,271.4,272,271.2,271.25
2018/6/27,270.95,271.75,270.85,271.6
2018/6/28,271.5,271.9,270.9,270.9
2018/6/29,271.5,271.75,270.75,271.4
2018/7/2,271.4,272.45,271,272.1
2018/7/3,272.95,273,271.3,271.9
2018/7/4,272.2,273.7,272.1,272.65
2018/7/5,272.5,273.3,272.3,272.75
2018/7/6,272.7,273.55,272.4,273.25
2018/7/9,273,273.4,272.7,273.1
2018/7/10,273.2,273.3,271.55,272
2018/7/11,272.15,273.05,271.85,272.85
2018/7/12,273.1,273.3,271.75,271.9
2018/7/13,271.8,272.35,271.6,271.7
2018/7/16,272.1,272.45,271.7,272.05
2018/7/17,271.55,271.75,270.75,271.55
2018/7/18,271.25,271.4,268.6,269.05
2018/7/19,269.5,270.35,269.2,270.3
2018/7/20,269.3,271.1,269.2,270.65
2018/7/23,271.5,272.3,271.45,271.9
2018/7/24,272.1,272.2,271.5,271.7
2018/7/25,272.05,272.2,271.5,271.7
2018/7/26,271.75,272.1,271.3,272.1
2018/7/27,271.65,272.1,271.3,271.5
2018/7/30,271.85,272.05,271.4,271.55
2018/7/31,271.7,271.9,271.3,271.65
